Measurement E9M1
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.35 - 0.45
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.38	0.736	0.1	345	2.66	0.473	0.1677
1.38	0.736	0.3	15	3.93	0.644	0.8103
1.38	0.736	0.3	45	2.41	0.553	0.0752
1.38	0.736	0.3	75	3.18	0.57	0.0847
1.38	0.736	0.3	105	4.83	0.837	0.4857
1.38	0.736	0.3	135	4.37	1.07	0.3122
1.38	0.736	0.3	225	2.71	0.699	0.983
1.38	0.736	0.3	255	3.59	0.653	0.3623
1.38	0.736	0.3	285	3.12	0.581	0.2578
1.38	0.736	0.3	315	3.82	0.757	0.4154
1.38	0.736	0.3	345	3.33	0.551	0.4509
1.38	0.736	0.5	15	2.91	0.551	0.2277
1.38	0.736	0.5	45	3.14	0.668	0.275
1.38	0.736	0.5	75	3.4	0.623	0.2891
1.38	0.736	0.5	105	3.19	0.629	0.1421
1.38	0.736	0.5	135	2.68	0.78	0.6776
1.38	0.736	0.5	165	2.32	2.68	2.4182
1.38	0.736	0.5	225	3.51	1.08	0.4708
1.38	0.736	0.5	255	1.93	0.421	0.1903
1.38	0.736	0.5	285	2.98	0.607	0.1694
1.38	0.736	0.5	315	2.96	0.671	0.2909
1.38	0.736	0.5	345	1.88	0.343	0.5546
1.38	0.736	0.7	15	1.67	0.329	0.1958
1.38	0.736	0.7	45	3.28	0.78	0.618
1.38	0.736	0.7	75	1.44	0.335	0.4378
1.38	0.736	0.7	105	1.85	0.466	0.2004
1.38	0.736	0.7	135	1.22	0.772	2.7495
1.38	0.736	0.7	165	5.09	7.21	2.7475
1.38	0.736	0.7	195	2.12	2.6	1.2175
1.38	0.736	0.7	225	1.4	0.524	0.1754
1.38	0.736	0.7	255	1.4	0.325	0.1487
1.38	0.736	0.7	285	2.26	0.469	0.1881
1.38	0.736	0.7	315	1.57	0.398	0.3182
1.38	0.736	0.7	345	2.1	0.424	0.1368
1.38	0.736	0.9	15	0.885	0.247	0.2743
1.38	0.736	0.9	45	1.56	0.453	0.2544
1.38	0.736	0.9	75	1.25	0.456	0.3423
1.38	0.736	0.9	105	1.88	0.558	0.274
1.38	0.736	0.9	135	2.51	1.07	0.6421
1.38	0.736	0.9	165	0.553	0.607	0.3491
1.38	0.736	0.9	195	0.503	0.564	0.4943
1.38	0.736	0.9	225	0.51	0.313	0.4081
1.38	0.736	0.9	255	1.63	0.624	0.8609
1.38	0.736	0.9	285	2.13	0.69	0.7212
1.38	0.736	0.9	315	2.09	0.64	0.4034
1.38	0.736	0.9	345	0.747	0.257	0.3718
Measurement E9M16
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.35 - 0.45
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.4	0.719	-0.9	15	0.26	0.112	0.0904
1.4	0.719	-0.9	45	0.284	0.21	0.0927
1.4	0.719	-0.9	75	0.815	0.449	0.2547
1.4	0.719	-0.9	105	1.13	0.509	0.2783
1.4	0.719	-0.9	135	0.514	0.249	0.2817
1.4	0.719	-0.9	165	0.908	0.398	0.1629
1.4	0.719	-0.9	195	2.58	1.14	0.6463
1.4	0.719	-0.9	225	0.712	0.352	0.366
1.4	0.719	-0.9	255	1.53	0.702	0.2723
1.4	0.719	-0.9	285	0.643	0.345	0.0776
1.4	0.719	-0.9	315	0.21	0.112	0.0608
1.4	0.719	-0.9	345	0.117	0.0865	0.0601
1.4	0.719	-0.7	15	0.34	0.159	0.0771
1.4	0.719	-0.7	45	1.28	0.385	0.1787
1.4	0.719	-0.7	75	0.423	0.307	0.2063
1.4	0.719	-0.7	105	1.75	0.743	0.2555
1.4	0.719	-0.7	135	1	0.756	0.4183
1.4	0.719	-0.7	165	2.58	1.13	0.7457
1.4	0.719	-0.7	195	1.56	0.676	0.4737
1.4	0.719	-0.7	225	7.73	6.33	5.037
1.4	0.719	-0.7	255	1.11	0.671	0.309
1.4	0.719	-0.7	285	2.65	0.927	0.4333
1.4	0.719	-0.7	315	1.81	0.511	0.1427
1.4	0.719	-0.7	345	0.674	0.232	0.0445
1.4	0.719	-0.5	15	1.61	0.375	0.1416
1.4	0.719	-0.5	45	2.09	0.541	0.1648
1.4	0.719	-0.5	75	2.47	0.742	0.8307
1.4	0.719	-0.5	105	2.12	0.554	0.6375
1.4	0.719	-0.5	135	2.2	0.611	0.4904
1.4	0.719	-0.5	165	4.05	2.87	8.1814
1.4	0.719	-0.5	195	0.736	0.782	3.0424
1.4	0.719	-0.5	225	3.53	0.923	0.3906
1.4	0.719	-0.5	255	1.82	0.561	0.2087
1.4	0.719	-0.5	285	3.96	1.02	0.3419
1.4	0.719	-0.5	315	2	0.572	0.2363
1.4	0.719	-0.5	345	1.21	0.317	0.1731
1.4	0.719	-0.3	15	1.34	0.286	0.0986
1.4	0.719	-0.3	45	2.63	0.61	0.1901
1.4	0.719	-0.3	75	4.28	1.01	0.4066
1.4	0.719	-0.3	105	4.04	0.783	0.2965
1.4	0.719	-0.3	135	2.9	0.602	0.1094
1.4	0.719	-0.3	165	2.78	1.86	0.6524
1.4	0.719	-0.3	195	2.66	2.18	0.6566
1.4	0.719	-0.3	225	2.74	0.604	0.3748
1.4	0.719	-0.3	255	5.84	0.997	0.5768
1.4	0.719	-0.3	285	5.14	1.18	0.7982
1.4	0.719	-0.3	315	3.27	0.816	0.4747
1.4	0.719	-0.3	345	1.71	0.34	0.1235
1.4	0.719	-0.1	15	3.02	0.578	0.5104
1.4	0.719	-0.1	45	3.17	0.732	0.4233
1.4	0.719	-0.1	75	4.83	0.898	0.3634
1.4	0.719	-0.1	105	4.08	0.633	0.4573
1.4	0.719	-0.1	135	3.06	0.618	0.284
1.4	0.719	-0.1	165	4.14	2.46	2.2086
1.4	0.719	-0.1	195	4.48	3.89	1.2252
1.4	0.719	-0.1	225	4.32	0.874	0.7169
1.4	0.719	-0.1	255	3.97	0.628	0.1962
1.4	0.719	-0.1	285	3.96	0.891	0.3915
1.4	0.719	-0.1	315	2.81	0.654	0.1253
1.4	0.719	-0.1	345	2.44	0.449	0.1517
1.4	0.719	0.1	15	2.25	0.479	0.1335
1.4	0.719	0.1	45	2.39	0.592	0.1646
1.4	0.719	0.1	75	3.9	0.766	0.1124
1.4	0.719	0.1	105	3.47	0.566	0.2003
1.4	0.719	0.1	135	7.43	1.68	1.5771
1.4	0.719	0.1	225	5.7	1.34	0.8382
1.4	0.719	0.1	255	3.21	0.557	0.2048
1.4	0.719	0.1	285	4.85	0.783	0.9513
1.4	0.719	0.1	315	2.09	0.547	0.1321
1.4	0.719	0.1	345	1.9	0.406	0.0381
1.4	0.719	0.3	15	2.08	0.394	0.323
1.4	0.719	0.3	45	1.45	0.349	0.0678
1.4	0.719	0.3	75	4.63	0.826	0.3129
1.4	0.719	0.3	105	3.08	0.544	0.1829
1.4	0.719	0.3	135	3.78	1.26	0.3826
1.4	0.719	0.3	165	2.81	1.95	1.9604
1.4	0.719	0.3	195	5.34	5.35	2.4358
1.4	0.719	0.3	225	3.07	1.04	0.4513
1.4	0.719	0.3	255	3.36	0.609	0.3446
1.4	0.719	0.3	285	4.12	0.735	0.1138
1.4	0.719	0.3	315	2.79	0.623	0.2744
1.4	0.719	0.3	345	2.91	0.524	0.1751
1.4	0.719	0.5	15	1.9	0.399	0.1541
1.4	0.719	0.5	45	2.29	0.494	0.2248
1.4	0.719	0.5	75	2.89	0.536	0.2002
1.4	0.719	0.5	105	2.71	0.562	0.3231
1.4	0.719	0.5	135	3.43	1.4	0.6409
1.4	0.719	0.5	165	2.54	1.76	0.8603
1.4	0.719	0.5	195	1.35	0.893	1.4131
1.4	0.719	0.5	225	6.48	2.76	2.1164
1.4	0.719	0.5	255	3.35	0.689	0.2787
1.4	0.719	0.5	285	1.8	0.399	0.297
1.4	0.719	0.5	315	1.85	0.455	0.1475
1.4	0.719	0.5	345	1.84	0.348	0.1795
1.4	0.719	0.7	15	2.23	0.457	0.5417
1.4	0.719	0.7	45	2.08	0.526	0.1571
1.4	0.719	0.7	75	2.68	0.612	0.18
1.4	0.719	0.7	105	0.86	0.25	0.1995
1.4	0.719	0.7	135	0.708	0.387	0.3973
1.4	0.719	0.7	165	1.65	0.97	5.5777
1.4	0.719	0.7	225	4.3	1.79	0.9675
1.4	0.719	0.7	255	1.76	0.482	0.0689
1.4	0.719	0.7	285	0.819	0.211	0.3358
1.4	0.719	0.7	315	1.51	0.458	0.1554
1.4	0.719	0.7	345	1.13	0.276	0.1432
1.4	0.719	0.9	15	1.96	0.55	0.2084
1.4	0.719	0.9	45	2.17	0.644	0.3501
1.4	0.719	0.9	75	2.17	0.845	0.4846
1.4	0.719	0.9	105	1.56	0.517	0.2788
1.4	0.719	0.9	135	0.421	0.315	0.1162
1.4	0.719	0.9	255	4.05	1.33	1.273
1.4	0.719	0.9	285	1.62	0.457	0.649
1.4	0.719	0.9	315	2.1	0.643	0.4317
1.4	0.719	0.9	345	1.03	0.303	0.7624
Measurement E9M17
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.35 - 0.45
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.42	0.702	-0.9	15	0.215	0.134	0.1151
1.42	0.702	-0.9	45	0.148	0.109	0.0084
1.42	0.702	-0.9	75	0.605	0.327	0.0977
1.42	0.702	-0.9	105	2.3	1.37	1.0903
1.42	0.702	-0.9	135	0.498	0.377	0.2228
1.42	0.702	-0.9	165	1.21	0.486	0.1962
1.42	0.702	-0.9	195	1.32	0.527	0.3387
1.42	0.702	-0.9	225	0.217	0.223	0.117
1.42	0.702	-0.9	255	0.489	0.302	0.2401
1.42	0.702	-0.9	285	0.5	0.312	0.2887
1.42	0.702	-0.9	315	0.748	0.358	0.1387
1.42	0.702	-0.9	345	0.223	0.125	0.0223
1.42	0.702	-0.7	15	0.83	0.295	0.1842
1.42	0.702	-0.7	45	1.28	0.426	0.1969
1.42	0.702	-0.7	75	1.56	0.749	0.1729
1.42	0.702	-0.7	105	1.34	0.592	0.1781
1.42	0.702	-0.7	135	3.28	1.95	0.9127
1.42	0.702	-0.7	165	0.659	0.707	0.5283
1.42	0.702	-0.7	195	1.79	1.41	0.3669
1.42	0.702	-0.7	225	6.05	3.03	2.1447
1.42	0.702	-0.7	255	1.29	0.617	0.1419
1.42	0.702	-0.7	285	2.69	0.894	0.1507
1.42	0.702	-0.7	315	1.6	0.495	0.1507
1.42	0.702	-0.7	345	0.62	0.204	0.2358
1.42	0.702	-0.5	15	1.03	0.283	0.1736
1.42	0.702	-0.5	45	2.07	0.61	0.2171
1.42	0.702	-0.5	75	4.81	1.3	0.4935
1.42	0.702	-0.5	105	2.85	0.656	0.0957
1.42	0.702	-0.5	135	2.43	0.585	0.6021
1.42	0.702	-0.5	165	5.71	5.72	3.8967
1.42	0.702	-0.5	195	3.97	3.45	2.3401
1.42	0.702	-0.5	225	0.983	0.367	0.2488
1.42	0.702	-0.5	255	3.58	0.88	0.5051
1.42	0.702	-0.5	285	2.4	0.82	0.3721
1.42	0.702	-0.5	315	1.83	0.559	0.3451
1.42	0.702	-0.5	345	1.78	0.409	0.5284
1.42	0.702	-0.3	15	1.48	0.321	0.256
1.42	0.702	-0.3	45	1.58	0.505	0.3664
1.42	0.702	-0.3	75	2.62	0.709	0.307
1.42	0.702	-0.3	105	4.32	0.808	0.3373
1.42	0.702	-0.3	135	2.17	0.457	0.2367
1.42	0.702	-0.3	165	2.28	1.79	1.0857
1.42	0.702	-0.3	195	3.5	2.48	2.4973
1.42	0.702	-0.3	225	5.06	0.948	0.5275
1.42	0.702	-0.3	255	3.96	0.65	0.2214
1.42	0.702	-0.3	285	2.77	0.693	0.2494
1.42	0.702	-0.3	315	2.91	0.781	0.2945
1.42	0.702	-0.3	345	1.58	0.328	0.1792
1.42	0.702	-0.1	15	1.42	0.307	0.0704
1.42	0.702	-0.1	45	3.75	0.989	0.7898
1.42	0.702	-0.1	75	2.85	0.586	0.3775
1.42	0.702	-0.1	105	4.29	0.712	0.3856
1.42	0.702	-0.1	135	1.85	0.576	0.3167
1.42	0.702	-0.1	195	15	13.7	6.765
1.42	0.702	-0.1	225	2.82	0.617	0.5304
1.42	0.702	-0.1	255	4.12	0.651	0.3919
1.42	0.702	-0.1	285	4.75	0.925	0.5161
1.42	0.702	-0.1	315	2.37	0.533	0.3414
1.42	0.702	-0.1	345	1.79	0.404	0.0911
1.42	0.702	0.1	15	2.62	0.571	0.0853
1.42	0.702	0.1	45	2.89	0.598	0.8277
1.42	0.702	0.1	75	3.67	0.72	0.4783
1.42	0.702	0.1	105	2.99	0.542	0.4182
1.42	0.702	0.1	135	3.8	1.11	0.1994
1.42	0.702	0.1	195	1.18	1.28	0.6128
1.42	0.702	0.1	225	5.17	1.55	1.1348
1.42	0.702	0.1	255	5.19	0.942	1.0231
1.42	0.702	0.1	285	2.95	0.546	0.4496
1.42	0.702	0.1	315	2.6	0.585	0.5938
1.42	0.702	0.1	345	1.75	0.436	0.1564
1.42	0.702	0.3	15	2.28	0.522	0.4
1.42	0.702	0.3	45	3.79	0.934	0.6265
1.42	0.702	0.3	75	3.85	0.709	0.358
1.42	0.702	0.3	105	3.84	0.752	0.4835
1.42	0.702	0.3	135	0.289	0.294	0.0519
1.42	0.702	0.3	165	13.4	6.84	8.149
1.42	0.702	0.3	195	3.34	1.41	3.542
1.42	0.702	0.3	225	3.43	1.15	0.4098
1.42	0.702	0.3	255	2.21	0.452	0.6064
1.42	0.702	0.3	285	2.89	0.582	0.1173
1.42	0.702	0.3	315	1.96	0.449	0.369
1.42	0.702	0.3	345	1.8	0.408	0.1499
1.42	0.702	0.5	15	1.53	0.367	0.2547
1.42	0.702	0.5	45	1.37	0.332	0.3643
1.42	0.702	0.5	75	2.38	0.459	0.1139
1.42	0.702	0.5	105	1.65	0.393	0.0914
1.42	0.702	0.5	135	2.41	1.18	0.5838
1.42	0.702	0.5	165	2.55	1.03	0.5609
1.42	0.702	0.5	195	1.63	1.05	0.9188
1.42	0.702	0.5	225	8.38	3.8	3.3236
1.42	0.702	0.5	255	1.57	0.42	0.2389
1.42	0.702	0.5	285	2.1	0.445	0.4748
1.42	0.702	0.5	315	2.01	0.523	0.2468
1.42	0.702	0.5	345	2.12	0.451	0.3206
1.42	0.702	0.7	15	2.05	0.488	0.3987
1.42	0.702	0.7	45	1.82	0.501	0.1693
1.42	0.702	0.7	75	1.17	0.303	0.1214
1.42	0.702	0.7	105	1.15	0.328	0.4852
1.42	0.702	0.7	135	1.96	0.861	1.4994
1.42	0.702	0.7	165	1.84	1.55	3.0781
1.42	0.702	0.7	195	3.98	2.92	1.5026
1.42	0.702	0.7	225	2.3	1.29	0.4111
1.42	0.702	0.7	255	2.1	0.509	0.6203
1.42	0.702	0.7	285	1.5	0.38	0.1419
1.42	0.702	0.7	315	1.92	0.554	0.2812
1.42	0.702	0.7	345	2.27	0.521	0.4997
1.42	0.702	0.9	15	0.884	0.276	0.299
1.42	0.702	0.9	45	1.4	0.459	0.4015
1.42	0.702	0.9	75	2.22	0.616	0.8201
1.42	0.702	0.9	105	2.99	0.926	0.9488
1.42	0.702	0.9	135	1.1	0.516	0.8916
1.42	0.702	0.9	225	0.253	0.269	0.207
1.42	0.702	0.9	255	0.543	0.243	0.1893
1.42	0.702	0.9	285	1.41	0.486	0.4071
1.42	0.702	0.9	315	1.17	0.547	0.4629
1.42	0.702	0.9	345	1.81	0.556	0.2687
Measurement E9M18
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.35 - 0.45
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.44	0.683	-0.9	15	0.0954	0.0708	0.0347
1.44	0.683	-0.9	45	0.143	0.105	0.0346
1.44	0.683	-0.9	75	0.423	0.264	0.1724
1.44	0.683	-0.9	105	1.37	0.71	0.1901
1.44	0.683	-0.9	135	1.36	0.698	2.0621
1.44	0.683	-0.9	165	1.08	0.506	0.2272
1.44	0.683	-0.9	195	1.14	0.472	0.0791
1.44	0.683	-0.9	225	1.48	0.78	0.0561
1.44	0.683	-0.9	255	0.309	0.189	0.1212
1.44	0.683	-0.9	285	0.573	0.262	0.1383
1.44	0.683	-0.9	315	0.0829	0.0846	0.0044
1.44	0.683	-0.9	345	0.147	0.0914	0.0484
1.44	0.683	-0.7	15	0.645	0.267	0.1035
1.44	0.683	-0.7	45	1.25	0.417	0.0704
1.44	0.683	-0.7	75	0.708	0.425	0.2285
1.44	0.683	-0.7	105	0.666	0.402	0.1152
1.44	0.683	-0.7	135	2	0.82	0.8464
1.44	0.683	-0.7	165	0.479	0.501	0.7299
1.44	0.683	-0.7	195	1.32	1.03	2.5478
1.44	0.683	-0.7	225	2.45	1.26	0.6216
1.44	0.683	-0.7	255	1.64	0.634	0.3891
1.44	0.683	-0.7	285	2.47	0.976	0.3266
1.44	0.683	-0.7	315	0.768	0.307	0.2399
1.44	0.683	-0.7	345	0.15	0.108	0.0376
1.44	0.683	-0.5	15	1.18	0.334	0.1788
1.44	0.683	-0.5	45	1.09	0.386	0.1006
1.44	0.683	-0.5	75	2.43	0.666	0.1555
1.44	0.683	-0.5	105	2.6	0.595	0.326
1.44	0.683	-0.5	135	3.46	0.781	0.2685
1.44	0.683	-0.5	195	3.55	2.6	3.4812
1.44	0.683	-0.5	225	3.03	0.617	0.3343
1.44	0.683	-0.5	255	2.75	0.589	0.2263
1.44	0.683	-0.5	285	1.42	0.501	0.075
1.44	0.683	-0.5	315	1.83	0.58	0.2979
1.44	0.683	-0.5	345	0.735	0.238	0.0543
1.44	0.683	-0.3	15	1.12	0.261	0.0991
1.44	0.683	-0.3	45	2.46	0.637	0.4458
1.44	0.683	-0.3	75	2.17	0.55	0.1695
1.44	0.683	-0.3	105	3.37	0.557	0.3818
1.44	0.683	-0.3	135	2.02	0.534	0.2579
1.44	0.683	-0.3	165	4.55	2.86	15.3014
1.44	0.683	-0.3	195	1.83	1.45	1.8416
1.44	0.683	-0.3	225	3.21	0.702	0.3663
1.44	0.683	-0.3	255	3.54	0.625	0.1228
1.44	0.683	-0.3	285	3.81	0.799	0.0752
1.44	0.683	-0.3	315	4.38	1.07	0.4493
1.44	0.683	-0.3	345	2.22	0.449	0.2078
1.44	0.683	-0.1	15	1.53	0.353	0.1329
1.44	0.683	-0.1	45	1.99	0.514	0.2197
1.44	0.683	-0.1	75	4.35	0.886	0.606
1.44	0.683	-0.1	105	5.07	0.863	0.8619
1.44	0.683	-0.1	135	1.78	0.483	0.6309
1.44	0.683	-0.1	225	2.51	0.696	0.6228
1.44	0.683	-0.1	255	3.09	0.56	0.1723
1.44	0.683	-0.1	285	4.89	0.911	0.2958
1.44	0.683	-0.1	315	2.8	0.725	0.5461
1.44	0.683	-0.1	345	1.2	0.285	0.1712
1.44	0.683	0.1	15	1.87	0.465	0.1474
1.44	0.683	0.1	45	3.28	0.72	0.1321
1.44	0.683	0.1	75	2.67	0.532	0.1168
1.44	0.683	0.1	105	3.03	0.522	0.858
1.44	0.683	0.1	135	2.22	0.911	0.4436
1.44	0.683	0.1	165	0.866	0.936	0.3111
1.44	0.683	0.1	195	2.08	1.7	1.0013
1.44	0.683	0.1	225	1.97	0.717	0.6124
1.44	0.683	0.1	255	3.92	0.737	0.4399
1.44	0.683	0.1	285	2.99	0.587	0.1731
1.44	0.683	0.1	315	3.06	0.732	0.3465
1.44	0.683	0.1	345	1.92	0.489	0.3341
1.44	0.683	0.3	15	1.34	0.368	0.0776
1.44	0.683	0.3	45	1.93	0.528	0.131
1.44	0.683	0.3	75	1.78	0.359	0.2065
1.44	0.683	0.3	105	2.66	0.524	0.1249
1.44	0.683	0.3	135	1.38	0.659	0.2032
1.44	0.683	0.3	165	2.8	1.03	1.4406
1.44	0.683	0.3	195	2.12	1	0.538
1.44	0.683	0.3	225	3.77	1.36	0.9315
1.44	0.683	0.3	255	3.2	0.646	0.1198
1.44	0.683	0.3	285	2.13	0.413	0.1772
1.44	0.683	0.3	315	2.06	0.515	0.1001
1.44	0.683	0.3	345	2.91	0.685	0.4554
1.44	0.683	0.5	15	2.72	0.643	0.2916
1.44	0.683	0.5	45	1.79	0.46	0.066
1.44	0.683	0.5	75	1	0.253	0.2957
1.44	0.683	0.5	105	1.97	0.458	0.0933
1.44	0.683	0.5	135	1.13	0.441	0.2963
1.44	0.683	0.5	165	1.59	0.68	0.4082
1.44	0.683	0.5	195	0.653	0.404	0.0956
1.44	0.683	0.5	225	3.75	1.31	0.5345
1.44	0.683	0.5	255	3.06	0.634	0.2383
1.44	0.683	0.5	285	2.56	0.512	0.3117
1.44	0.683	0.5	315	2.45	0.639	0.1409
1.44	0.683	0.5	345	2.44	0.564	0.1128
1.44	0.683	0.7	15	1.55	0.4	0.4136
1.44	0.683	0.7	45	1.08	0.356	0.0859
1.44	0.683	0.7	75	2.34	0.544	0.2856
1.44	0.683	0.7	105	1.21	0.398	0.1922
1.44	0.683	0.7	135	0.564	0.419	0.0781
1.44	0.683	0.7	165	1.94	1.35	0.7987
1.44	0.683	0.7	195	1.69	0.909	0.3152
1.44	0.683	0.7	225	1	0.491	0.222
1.44	0.683	0.7	255	1.97	0.525	0.3805
1.44	0.683	0.7	285	1.13	0.333	0.0977
1.44	0.683	0.7	315	1.58	0.451	0.2543
1.44	0.683	0.7	345	2.69	0.6	0.4768
1.44	0.683	0.9	15	1.19	0.36	0.7782
1.44	0.683	0.9	45	2.11	0.794	0.3721
1.44	0.683	0.9	75	0.785	0.308	0.1746
1.44	0.683	0.9	105	0.566	0.206	0.1643
1.44	0.683	0.9	135	0.211	0.22	0.4158
1.44	0.683	0.9	165	1.06	1.23	0.5244
1.44	0.683	0.9	225	0.932	0.537	0.3188
1.44	0.683	0.9	255	2.21	0.641	0.4781
1.44	0.683	0.9	285	0.985	0.323	0.3638
1.44	0.683	0.9	315	0.724	0.267	0.242
1.44	0.683	0.9	345	1.42	0.448	0.4316
Measurement E9M19
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.35 - 0.45
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.46	0.664	-0.9	15	0.0773	0.0573	0.0731
1.46	0.664	-0.9	45	0.425	0.207	0.1994
1.46	0.664	-0.9	75	0.193	0.198	0.0295
1.46	0.664	-0.9	105	0.787	0.435	0.0309
1.46	0.664	-0.9	135	1.24	0.643	1.0144
1.46	0.664	-0.9	165	1.11	0.513	0.1183
1.46	0.664	-0.9	195	1.25	0.515	0.1788
1.46	0.664	-0.9	225	1.49	0.728	0.3451
1.46	0.664	-0.9	255	3.46	2.33	1.8357
1.46	0.664	-0.9	285	0.839	0.475	0.1007
1.46	0.664	-0.9	315	0.212	0.129	0.0717
1.46	0.664	-0.9	345	0.726	0.335	0.1797
1.46	0.664	-0.7	15	0.586	0.24	0.1049
1.46	0.664	-0.7	45	1.9	0.611	0.3297
1.46	0.664	-0.7	75	2.51	1.14	0.2226
1.46	0.664	-0.7	105	1.64	0.635	0.3746
1.46	0.664	-0.7	135	3.99	1.96	1.6535
1.46	0.664	-0.7	165	3.61	3.14	4.791
1.46	0.664	-0.7	225	3.29	1.06	0.3598
1.46	0.664	-0.7	255	1.64	0.635	0.3619
1.46	0.664	-0.7	285	1	0.75	0.2389
1.46	0.664	-0.7	315	1.1	0.429	0.1477
1.46	0.664	-0.7	345	0.392	0.159	0.097
1.46	0.664	-0.5	15	1.07	0.281	0.246
1.46	0.664	-0.5	45	0.772	0.304	0.0938
1.46	0.664	-0.5	75	2.8	0.763	0.3198
1.46	0.664	-0.5	105	3.2	0.632	0.1975
1.46	0.664	-0.5	135	2.51	0.577	0.2419
1.46	0.664	-0.5	165	2.48	2.03	0.7824
1.46	0.664	-0.5	195	1.73	1.94	2.8597
1.46	0.664	-0.5	225	5.55	1.24	1.4734
1.46	0.664	-0.5	255	2.99	0.627	0.2315
1.46	0.664	-0.5	285	3.37	0.876	0.229
1.46	0.664	-0.5	315	0.882	0.375	0.0106
1.46	0.664	-0.5	345	1.61	0.431	0.0765
1.46	0.664	-0.3	15	1.65	0.359	0.2249
1.46	0.664	-0.3	45	1.87	0.537	0.2553
1.46	0.664	-0.3	75	2.88	0.632	0.4623
1.46	0.664	-0.3	105	3.46	0.566	0.2556
1.46	0.664	-0.3	135	2.87	0.704	0.2077
1.46	0.664	-0.3	195	5.47	6.7	2.7442
1.46	0.664	-0.3	225	3.83	0.857	0.4604
1.46	0.664	-0.3	255	5.03	0.778	0.3575
1.46	0.664	-0.3	285	2.49	0.585	0.3049
1.46	0.664	-0.3	315	1.68	0.5	0.4309
1.46	0.664	-0.3	345	1.27	0.342	0.1587
1.46	0.664	-0.1	15	2.55	0.528	0.2758
1.46	0.664	-0.1	45	2.35	0.633	0.2862
1.46	0.664	-0.1	75	4.78	0.832	0.5376
1.46	0.664	-0.1	105	3.3	0.537	0.501
1.46	0.664	-0.1	135	2.31	0.656	0.3883
1.46	0.664	-0.1	195	4.32	3.95	2.5312
1.46	0.664	-0.1	225	4.89	1.43	1.062
1.46	0.664	-0.1	255	3.08	0.527	0.3735
1.46	0.664	-0.1	285	4.06	0.797	0.1917
1.46	0.664	-0.1	315	3.27	0.746	0.8081
1.46	0.664	-0.1	345	1.25	0.302	0.2149
1.46	0.664	0.1	15	2.11	0.561	0.1352
1.46	0.664	0.1	45	1.78	0.493	0.2024
1.46	0.664	0.1	75	3.74	0.642	0.3064
1.46	0.664	0.1	105	3.57	0.64	0.1102
1.46	0.664	0.1	135	1.84	0.878	0.3535
1.46	0.664	0.1	165	4.07	1.66	0.597
1.46	0.664	0.1	195	3.76	1.78	1.1065
1.46	0.664	0.1	225	3.46	1.31	0.6403
1.46	0.664	0.1	255	2.72	0.485	0.0747
1.46	0.664	0.1	285	3	0.567	0.5188
1.46	0.664	0.1	315	3.16	0.749	0.5195
1.46	0.664	0.1	345	1.4	0.366	0.1662
1.46	0.664	0.3	15	1.59	0.389	0.2803
1.46	0.664	0.3	45	2.61	0.703	0.2808
1.46	0.664	0.3	75	2.83	0.505	0.0914
1.46	0.664	0.3	105	3.35	0.622	0.0869
1.46	0.664	0.3	135	2.55	0.758	0.4702
1.46	0.664	0.3	165	2.89	1.16	0.9159
1.46	0.664	0.3	195	4.05	1.39	1.118
1.46	0.664	0.3	225	3.07	1.01	0.2605
1.46	0.664	0.3	255	2.98	0.606	0.4882
1.46	0.664	0.3	285	2.94	0.572	0.2081
1.46	0.664	0.3	315	2.28	0.599	0.195
1.46	0.664	0.3	345	2.42	0.583	0.2086
1.46	0.664	0.5	15	1.19	0.294	0.3056
1.46	0.664	0.5	45	2.06	0.56	0.1893
1.46	0.664	0.5	75	3.52	0.648	0.2749
1.46	0.664	0.5	105	3.73	0.83	0.6278
